product_id,gender,category,article_type,base_colour,occasion,available_sizes,pattern,sleeve_type,neck_type,material,style,description,price,image_path
P025,Women,Topwear,Blouse,Black Pink,Casual,S/M/L/XL/XXXL,Floral,Long sleeves,V-neck collar,Chiffon,Relaxed fit,Black and pink floral print button-down blouse,1790,Images/P025.png
P026,Women,Topwear,Dress,Royal Blue,Party,S/M/L/XL/XXXL,Solid,Off-shoulder,Sweetheart neck,Crepe,Pencil midi with belt,Royal blue off-shoulder pencil midi dress with belt,4990,Images/P026.png
P027,Women,Set,Kurta,Red,Party and Wedding,S/M/L/XL,Embroidered,Long sleeves,Round neck with embroidery,Cotton/Chiffon,Traditional kurta palazzo,Red embroidered kurta palazzo set with dupatta,8760,Images/P027.png
P028,Women,Topwear,Dress,Purple,Party,S/M/L/XL/XXL,Sequin,One shoulder,Asymmetric,Sequin,Wrap mini,Purple sequin one-shoulder wrap mini dress,3040,Images/P028.png
P029,Women,Topwear,Dress,Silver,Party,S/M/L/XL,Solid,Long sleeves,V-neck,Metallic/Lurex,Wrap bodycon,Silver metallic wrap dress with ruched detailing,4830,Images/P029.png
P030,Women,Topwear,Dress,Teal Blue,Casual,S/M/L/XL,Floral,Long puff sleeves,Square neck,Polyester/Cotton,Floral mini,Teal blue floral print puff sleeve mini dress,4930,Images/P030.png
P031,Women,Topwear,Dress,Pink,Party,S/M/L/XL/XXXL,Sequin,Sleeveless,Round neck,Sequin/Polyester,Bodycon midi,Pink sequin bodycon midi dress with sleeveless design,3590,Images/P031.png
P032,Women,Topwear,Dress,Navy Blue,Casual,S/M/L/XL,Floral,3/4 sleeves,V-neck,Polyester/Chiffon,Wrap midi,Navy blue floral print wrap dress with 3/4 sleeves and floral border,4310,Images/P032.png
P033,Women,Topwear,Dress,Black,Party,S/M/L/XL,Solid,One shoulder,Asymmetric neck,Crepe/Polyester,Bodycon midi with ruffle,Black one-shoulder ruched bodycon midi dress with asymmetric ruffle,3680,Images/P033.png
P034,Women,Topwear,Dress,Black,Party,S/M/L/XL,Sequin,Ruffled puff sleeves,V-neck sheer mesh,Sequin/Polyester,Bodycon midi,Black sequin bodycon midi dress with ruffled puff sleeves and sheer mesh V-neck,4380,Images/P034.png
P035,Men,Bottomwear,Shorts,Navy Blue,Casual,M/L/XL/XXL,Solid,Elastic waist,,Cotton/Twill,Chino shorts,Men navy blue chino shorts,1730,Images/P035.png
P036,Women,Topwear,Top,White,Casual,S/M/L/XL,Eyelet,Short cap sleeves,Round neck,Cotton/Lace,Eyelet crochet top,White eyelet crochet short sleeve top with scalloped hem,1660,Images/P036.png
P037,Women,Topwear,Top,Green,Casual,S/M/L/XL,Eyelet,Short cap sleeves,Round neck,Cotton/Lace,Eyelet crochet top,Green eyelet short sleeve top with crochet detailing,1790,Images/P037.png
P038,Women,Topwear,Dress,Red,Party,S/M/L/XL,Solid,Strapless,Sweetheart neck,Polyester/Crepe,Bodycon midi with mermaid hem,Red strapless bodycon midi dress with flounce mermaid hem,4590,Images/P038.png
P039,Men,Topwear,Shirt,Red Plaid,Casual,M/L/XL/XXL,Plaid/Check,Long sleeves,Button-down collar,Cotton Flannel,Plaid flannel shirt,Red and navy plaid flannel shirt with long sleeves and chest pockets,1720,Images/P039.png
P040,Women,Topwear,Dress,White,Party,S/M/L/XL/XXL,Solid,Off-shoulder,Sweetheart neck,Polyester/Spandex,Bodycon mini with ruching,White off-shoulder ruched bodycon mini dress,3540,Images/P040.png
P041,Women,Set,Co-ord Set,Pink,Formal,S/M/L/XL,Solid,Sleeveless,Lapel collar,Polyester/Wool blend,Power suit,Beige sleeveless double-breasted vest and flared trouser suit,8400,Images/P041.png
P042,Women,Topwear,Top,Black White,Formal,S/M/L/XL/XXXXL,Solid,Long sleeves,Collar neck,Polyester/Chiffon,Cropped top,Black cropped top with white contrast collar and cuffs,1620,Images/P042.png
P043,Women,Topwear,Blouse,White Black,Formal,S/M/L/XL,Solid,Long sleeves,Collar neck,Polyester,Button-down blouse,White blouse with black contrast collar and cuffs,1840,Images/P043.png
P044,Women,Topwear,Top,Navy Blue,Formal,S/M/L/XL/XXXL,Solid,Long sleeves,Collar neck,Polyester,Cropped blouse,Navy blue cropped blouse with collar,1710,Images/P044.png
P045,Women,Set,Co-ord Set,Beige Tan,Formal,S/M/L/XL,Solid,Long sleeves,Lapel collar,Polyester/Crepe,Power suit,Beige oversized blazer and flared trouser power suit,6800,Images/P045.png
P046,Women,Set,Kurta,Sage Green,Party and Wedding,S/M/L/XL,Embroidered,Long sleeves,Round neck with embroidery,Cotton/Chiffon,Kurta set with dupatta,Sage green embroidered kurta set with green and gold dupatta,6220,Images/P046.png
P047,Women,Topwear,Dress,Black White,Formal,S/M/L/XL,Houndstooth,Long sleeves,Round neck,Wool/Polyester,Shift mini,Black and white houndstooth long sleeve mini shift dress,4310,Images/P047.png
P048,Women,Topwear,Shirt,Pink Mauve,Formal,S/M/L/XL/XXXL,Floral,Long sleeves,Collar neck,Viscose/Chiffon,Floral relaxed fit,Pink mauve floral print button-down shirt,1700,Images/P048.png
P049,Women,Topwear,Dress,Green,Party,S/M/L/XL/XXXXL,Solid,Thin straps,Cowl neck,Velvet,Bodycon midi with embellishments,Green  velvet bodycon midi dress with pearl rhinestone embellishments,4910,Images/P049.png
P050,Women,Set,Co-ord Set,Cream,Formal,S/M/L/XL,Solid,Long sleeves,Turtleneck,Knit,Sweater set with coat,Cream turtleneck sweater set with matching knit coat,8860,Images/P050.png
P051,Women,Topwear,Dress,Black,Party,S/M/L/XL/XXXXL,Solid,Thin straps,V-neck scallop,Crepe/Spandex,Bodycon midi,Black bodycon midi dress with scalloped neckline,4730,Images/P051.png
P052,Women,Set,Co-ord Set,White,Party,S/M/L/XL/XXXL,Embroidered,Long sleeves,Round neck,Mesh/Lace,Embroidered set,White two-piece set with sheer embroidered mesh top and wide-leg pants,8630,Images/P052.png
P053,Women,Topwear,Dress,Red,Party,S/M/L/XL,Solid,Thin straps,Square neck,Satin,Bodycon maxi with slit,Red satin bodycon maxi dress with high slit and structured bodice,4730,Images/P053.png
P054,Women,Topwear,Kurta,Red Orange,Party and Wedding,S/M/L/XL,Geometric/Bandhani,3/4 sleeves,V-neck,Cotton,A-line print kurta,Red orange bandhani print A-line kurta with 3/4 sleeves,3800,Images/P054.png
P055,Women,Topwear,Blouse,Lavender,Casual,S/M/L/XL/XXXL,Solid,Long sleeves,Tie neck,Chiffon,Boho peasant,Lavender chiffon boho blouse with lace insert and tie neck,1690,Images/P055.png
P056,Women,Set,Saree,Black Gold,Party and Wedding,S/M/L/XL/XXXL,Floral,Blouse V-neck sleeveless,Spaghetti strap,Georgette/Silk,Saree-style lehenga,Black saree-style lehenga set with gold floral print dupatta,6410,Images/P056.png
P057,Women,Set,Co-ord Set,Black,Formal,S/M/L/XL/XXXXL,Solid,Long sleeves,Lapel collar,Polyester/Wool,Power suit,Black double-breasted blazer with gold buttons and midi skirt,8440,Images/P057.png
P058,Women,Topwear,Dress,Black White,Casual,S/M/L/XL,Gingham,3/4 sleeves,V-neck,Cotton,Gingham tiered mini,Black and white gingham check tiered mini dress,4880,Images/P058.png
P059,Women,Topwear,Blouse,Blue,Casual,S/M/L/XL,Embroidered,3/4 peasant sleeves,V-neck with tassels,Rayon/Cotton,Boho peasant,Blue boho peasant blouse with white embroidery and tassels,1780,Images/P059.png
P060,Women,Set,Kurta,Lavender,Party and Wedding,S/M/L/XL,Embroidered,3/4 sleeves,Round neck,Cotton/Chiffon,Anarkali set with dupatta,Lavender embroidered anarkali kurta set with dupatta,6980,Images/P060.png
P061,Men,Bottomwear,Shorts,White,Casual,M/L/XL/XXL,Solid,Elastic waist with drawstring,,Polyester/Quilted,Athletic shorts,White quilted athletic shorts with black drawstring,2980,Images/P061.png
P062,Women,Set,Kurtha,Purple,Wedding,S/M/L/XL,Embroidered,3/4 sleeves,Round neck,Cotton/Chiffon,Kurta with dupatta,Purple embroidered kurta set with dupatta,7730,Images/P062.png
P063,Women,Topwear,Top,Pale Yellow,Casual,S/M/L/XL/XXXL,Solid,Spaghetti straps,V-neck,Rayon/Chiffon,Peplum top,Pale yellow spaghetti strap peplum top with pom-pom trim,1790,Images/P063.png
P064,Women,Topwear,Top,Black,Casual,S/M/L/XL/XXXL,Solid,Spaghetti straps,V-neck,Rayon/Chiffon,Peplum top,Black spaghetti strap peplum top with pom-pom trim,1930,Images/P064.png
P065,Women,Bottomwear,Shorts,White,Casual,S/M/L/XL,Solid,Button/zip waist,,Denim,Ripped denim shorts,White distressed ripped denim shorts,2190,Images/P065.png
P066,Women,Topwear,Shirt,Black White,Casual,S/M/L/XL/XXL,Striped,3/4 sleeves,Collar neck,Cotton/Viscose,Striped button-down,Black and white striped button-down shirt,1630,Images/P066.png
P067,Women,Bottomwear,Shorts,White,Casual,S/M/L/XL,Solid,Button/zip waist,,Denim,Distressed fringe shorts,White heavily distressed denim shorts with fringe hem,2520,Images/P067.png
P068,Women,Set,Co-ord Set,Pink White,Party,S/M/L/XL/XXL,Solid,Spaghetti straps,V-neck,Satin/Crepe,Crop top and ruffle skirt set,Dusty pink satin cami crop top and white tiered ruffle mini skirt,6940,Images/P068.png
P069,Women,Set,Co-ord Set,Black Blue,Party,S/M/L/XL/XXL,Solid,Halter,Deep V-neck,Polyester/Crepe,Halter top and flared skirt,Black halter deep V-neck top with blue flared mini skirt,5500,Images/P069.png
P070,Women,Set,Co-ord Set,White Black,Party,S/M/L/XL,Solid,Halter,Deep V-neck,Polyester/Crepe,Pleated top and flared skirt,White halter deep V-neck pleated top with black flared mini skirt,7280,Images/P070.png
P071,Men,Bottomwear,Shorts,White,Casual,M/L/XL/XXL,Solid,Cargo pockets,,Cotton/Chino,Cargo shorts,White men cargo shorts with belt,2400,Images/P071.png
P072,Men,Bottomwear,Shorts,White,Casual,M/L/XL/XXL,Solid,Cargo pockets,,Cotton/Chino,Cargo shorts,White men cargo shorts with belt,2020,Images/P072.png
P073,Women,Topwear,Top,White Black,Casual,S/M/L/XL,Solid,3/4 raglan sleeves,Round neck,Cotton,Baseball tee,White and black raglan baseball tee with 3/4 sleeves,1620,Images/P073.png
P074,Women,Topwear,Top,Grey Blue,Casual,S/M/L/XL/XXL,Solid,3/4 raglan sleeves,Round neck,Cotton,Baseball tee,Grey and navy raglan baseball tee with 3/4 sleeves,1860,Images/P074.png
P075,Women,Topwear,Top,White Red,Casual,S/M/L/XL/XXXXL,Solid,3/4 raglan sleeves,Round neck,Cotton,Baseball tee,White and red raglan baseball tee with 3/4 sleeves,1840,Images/P075.png
P076,Women,Topwear,Top,White Yellow,Casual,S/M/L/XL,Solid,3/4 raglan sleeves,Round neck,Cotton,Baseball tee,White and yellow raglan baseball tee with 3/4 sleeves,1580,Images/P076.png
P077,Women,Topwear,Top,Red Navy,Casual,S/M/L/XL/XXL,Solid,3/4 raglan sleeves,Round neck,Cotton,Baseball tee,Red and navy raglan baseball tee with 3/4 sleeves,1580,Images/P077.png
P078,Women,Bottomwear,Shorts,White,Casual,S/M/L/XL,Solid,Button/zip waist,,Denim/Lace,Lace trim shorts,White denim shorts with lace crochet trim,2660,Images/P078.png
P079,Men,Topwear,T-Shirt,Black,Casual,M/L/XL/XXL,Solid,Rolled cap sleeves,Crew neck,Cotton,Basic crew neck tee,Men black crew neck t-shirt with rolled sleeves,1720,Images/P079.png
P080,Men,Topwear,T-Shirt,White,Casual,M/L/XL/XXL,Solid,Rolled cap sleeves,Crew neck,Cotton,Basic crew neck tee,Men white crew neck t-shirt with rolled sleeves,1990,Images/P080.png
P081,Men,Topwear,T-Shirt,Grey ,Casual,M/L/XL/XXL,Solid,Rolled cap sleeves,Crew neck,Cotton,Basic crew neck tee,Men Grey crew neck t-shirt with rolled sleeves,1990,Images/P081.png
P082,Men,Topwear,T-Shirt,Red,Casual,M/L/XL/XXL,Solid,Rolled cap sleeves,Crew neck,Cotton,Basic crew neck tee,Men Red crew neck t-shirt with rolled sleeves,1990,Images/P082.png
P083,Men,Bottomwear,Shorts,White,Casual,M/L/XL/XXL,Solid,Elastic waist with drawstring,,Polyester,Athletic shorts,White Nike athletic shorts with black drawstring and trim,1680,Images/P083.png
P084,Men,Bottomwear,Jeans,White,Casual,M/L/XL/XXL,Solid,Button/zip waist,,Denim,Distressed skinny jeans,White men ripped distressed skinny jeans,3550,Images/P084.png
P085,Women,Topwear,Top,Purple,Casual,S/M/L/XL,Ribbed,Long sleeves,Scoop neck,Ribbed cotton,Bodycon crop,Purple ribbed long sleeve crop top,1760,Images/P085.png
P086,Women,Topwear,Top,Olive Green,Casual,S/M/L/XL/XXXL,Ribbed,Long sleeves,Scoop neck,Ribbed cotton,Bodycon crop,Olive green ribbed long sleeve crop top,1540,Images/P086.png
P087,Women,Bottomwear,Trousers,White,Casual,S/M/L/XL/XXXXL,Solid,Button/zip waist,,Denim,Distressed skinny jeans,White women heavily ripped distressed skinny Trousers,4430,Images/P087.png
P088,Women,Bottomwear,Trousers,White,Casual,S/M/L/XL,Solid,Elastic waist with drawstring,,Linen,Cargo joggers,White linen cargo jogger pants with drawstring,4500,Images/P088.png
P089,Women,Bottomwear,Trousers,White,Casual,S/M/L/XL,Solid,Button/zip waist,,Denim,Flare jeans,White women flare Trousers,4710,Images/P089.png
P090,Men,Bottomwear,Trousers,White,Formal,M/L/XL/XXL,Solid,Pleated front,,Cotton/Dress fabric,Dress trousers,White men dress pants with pleat,4670,Images/P090.png
P091,Men,Bottomwear,Trousers,White,Casual,M/L/XL/XXL,Solid,Elastic waist with drawstring,,Linen,Cargo joggers,White men linen cargo pants with drawstring,5920,Images/P091.png
P092,Women,Bottomwear,Trousers,White,Formal,S/M/L/XL,Solid,Back zipper,,Polyester/Crepe,Tailored trousers,White women tailored trousers with back zipper,4120,Images/P092.png
P093,Women,Topwear,Top,Mustard Yellow,Formal,S/M/L/XL/XXXXL,Solid,Rolled short sleeves,Crew neck,Jersey/Cotton,Relaxed fit,Mustard yellow slouchy relaxed tee with rolled sleeves,1550,Images/P093.png
P094,Women,Bottomwear,Jeans,White,Formal,S/M/L/XL/XXXXL,Solid,Button/zip waist,,Denim,Straight leg jeans,White women straight leg jeans,4120,Images/P094.png
P095,Men,Topwear,Shirt,Red Blue Plaid,Casual,M/L/XL/XXL,Plaid,Long sleeves,Collar neck,Cotton/Flannel,Plaid button-down,Men red blue plaid check button-down shirt,1990,Images/P095.png
P096,Men,Bottomwear,Trousers,White,Casual,M/L/XL/XXL,Solid,Elastic waist with drawstring,,Linen,Relaxed linen pants,Men white linen drawstring pants,5420,Images/P096.png
P097,Men,Bottomwear,Trousers,White,Casual,M/L/XL/XXL,Solid,Cargo pockets,,Cotton,Cargo pants,Men white cargo pants with multiple pockets,5590,Images/P097.png
P098,Men,Bottomwear,Trousers,White,Formal,M/L/XL/XXL,Solid,Button/zip waist,,Cotton/Chino,Slim chinos,Men white slim fit chinos,5530,Images/P098.png
P099,Women,Bottomwear,Trousers,White,Casual,S/M/L/XL/XXL,Solid,Elastic waist,,Cotton/Blend,Casual cropped trousers,White women casual cropped trousers,4640,Images/P099.png
P100,Women,Topwear,Dress,White,Casual,S/M/L/XL/XXL,Solid,Spaghetti straps,V-neck,Cotton/Chiffon,Tiered maxi,White tiered maxi dress with spaghetti straps and V-neck,4000,Images/P100.png
P101,Women,Topwear,Dress,White,Wedding,S/M/L/XL,Lace,Sleeveless,Sweetheart neck,Lace,Bridal gown,White lace wedding bridal gown with sweetheart neckline,4300,Images/P101.png
P102,Women,Topwear,Dress,White,Casual,S/M/L/XL,Lace,Off-shoulder,Strapless,Chiffon/Lace,Strapless maxi,White off-shoulder strapless maxi dress with lace trim,4300,Images/P102.png
P103,Women,Topwear,Dress,White,Party,S/M/L/XL,Solid,3/4 sleeves,V-neck,Crepe/Scuba,Bodycon midi,White V-neck bodycon midi dress with 3/4 sleeves,3760,Images/P103.png
P104,Women,Topwear,Dress,White,Party,S/M/L/XL,Embroidered bodice,Strapless,Sweetheart neck,Chiffon,A-line ball gown,White strapless A-line ball gown with gold embroidered bodice,4320,Images/P104.png
P105,Women,Topwear,Dress,White,Party,S/M/L/XL/XXXXL,Solid,One shoulder,Asymmetric neck,Chiffon,Flowy one-shoulder maxi,White one-shoulder flowy maxi dress with ruffle detail,4520,Images/P105.png
P106,Women,Topwear,Dress,White,Party,S/M/L/XL/XXL,Lace,Halter,High neck,Lace/Chiffon,Halter lace maxi,White halter lace maxi dress,4120,Images/P106.png
P107,Women,Bottomwear,Trousers,Red,Casual,S/M/L/XL/XXL,Solid,Button/zip waist,,Corduroy,Bootcut flare pants,Red corduroy bootcut flare pants,4400,Images/P107.png
P108,Men,Bottomwear,Trousers,Red,Casual,M/L/XL/XXL,Solid,Button/zip waist,,Cotton/Chino,Chino pants,Men red chino pants,5470,Images/P108.png
P109,Men,Bottomwear,Trousers,Red,Casual,M/L/XL/XXL,Solid,Button/zip waist,,Cotton/Chino,Chino pants,Men red chino pants,5290,Images/P109.png
P110,Women,Bottomwear,Trousers,Red,Formal,S/M/L/XL/XXL,Solid,Pull-on/Pleated,,Polyester/Crepe,Dress trousers,Red women dress pants/trousers,4830,Images/P110.png
P111,Men,Bottomwear,Trousers,Red,Casual,S/M/L/XL/XXXXL,Solid,Elastic waist with drawstring,,Cotton/Jersey,Jogger pants,Red jogger pants with drawstring,3680,Images/P111.png
P112,Women,Bottomwear,Trousers,Red,Casual,S/M/L/XL,Solid,Button/zip waist,,Corduroy,Flare pants,Burgundy corduroy flare pants,5580,Images/P112.png
P113,Women,Bottomwear,Trousers,Red,Formal,S/M/L/XL/XXXXL,Solid,Pleated front,,Polyester/Crepe,Dress trousers,Red women tailored dress pants,4120,Images/P113.png
P114,Women,Bottomwear,Jeans,Red,Casual,S/M/L/XL/XXXXL,Solid,Button/zip waist,,Corduroy,Skinny jeans,Red women corduroy skinny jeans,4110,Images/P114.png
P115,Women,Bottomwear,Trousers,Red,Party,S/M/L/XL,Solid,Pull-on,,Faux leather,Faux leather leggings,Red women faux leather leggings/pants,4500,Images/P115.png
P116,Men,Bottomwear,Jeans,Red,Casual,M/L/XL/XXL,Solid,Button/zip waist,,Denim,Straight leg jeans,Men red straight leg jeans,5780,Images/P116.png
P117,Women,Topwear,Dress,Red,Party,S/M/L/XL,Lace bodice,Sleeveless,High neck,Lace/Chiffon,Lace and chiffon maxi,Red lace sleeveless maxi dress with chiffon skirt,4200,Images/P117.png
P118,Women,Topwear,Dress,Red,Party,S/M/L/XL/XXXL,Solid,Off-shoulder,Sweetheart neck,Polyester/Spandex,Bodycon mini with ruching,Red off-shoulder ruched bodycon mini dress,3730,Images/P118.png
P119,Women,Topwear,Dress,Red,Party,S/M/L/XL,Solid,Sleeveless,Keyhole neckline,Crepe/Jersey,Bodycon maxi with keyhole,Red sleeveless keyhole bodycon maxi dress,4340,Images/P119.png
P120,Women,Topwear,Dress,Red,Party,S/M/L/XL/XXXXL,Solid,Off-shoulder,Sweetheart neck,Crepe/Mikado,Mermaid gown,Red off-shoulder mermaid fishtail gown,4990,Images/P120.png
P121,Women,Topwear,Dress,Red,Party,S/M/L/XL/XXL,Lace,Cold shoulder,Round neck,Lace,Bodycon mini with lace,Red cold shoulder lace bodycon mini dress,4260,Images/P121.png
P122,Women,Topwear,Dress,Red,Party,S/M/L/XL,Velvet,Spaghetti straps,V-neck,Velvet,Bodycon maxi with slit,Red velvet bodycon maxi dress with V-neck and slit,4950,Images/P122.png
P123,Women,Topwear,Dress,Red,Party,S/M/L/XL,Solid,Spaghetti straps,V-neck wrap,Chiffon,Wrap front mini,Red wrap front chiffon mini dress with spaghetti straps,3840,Images/P123.png
P124,Women,Topwear,Dress,Burgundy,Party,S/M/L/XL/XXXL,Solid,Off-shoulder,Sweetheart neck,Jersey/Polyester,High-low maxi,Burgundy off-shoulder high-low maxi dress,3940,Images/P124.png
P125,Women,Topwear,Dress,Red,Party,S/M/L/XL/XXXXL,Pleated,One shoulder,Asymmetric neck,Pleated polyester,Pleated midi,Red pleated one-shoulder midi dress,3770,Images/P125.png
P126,Women,Topwear,Dress,Red,Party,S/M/L/XL,Lace bodice,Sleeveless,V-neck lace,Lace/Satin,Flare party mini,Red lace bodice V-neck flare party dress,3950,Images/P126.png
P127,Women,Bottomwear,Shorts,Black,Party,S/M/L/XL/XXL,Solid,Button/zip waist,,Faux leather,Faux leather shorts,Black faux leather shorts,1680,Images/P127.png
P128,Women,Bottomwear,Shorts,Black,Formal,S/M/L/XL/XXL,Solid,Pleated front,,Crepe/Polyester,Tailored shorts,Black high-waisted tailored shorts,2970,Images/P128.png
P129,Men,Bottomwear,Shorts,Black,Casual,M/L/XL/XXL,Solid,Button/zip waist,,Cotton/Chino,Chino shorts,Men black chino shorts,2090,Images/P129.png
P130,Women,Bottomwear,Shorts,Black,Casual,S/M/L/XL,Solid,Double-breasted buttons,,Polyester/Crepe,Sailor shorts,Black high-waisted double-breasted button shorts,2570,Images/P130.png
P131,Women,Set,Shorts,Black,Casual,S/M/L/XL/XXXL,Graphic,Short sleeves,Crew neck,Cotton/Faux leather,Tee and leather shorts set,Black graphic tee and faux leather shorts set,6910,Images/P131.png
P132,Men,Bottomwear,Shorts,Black,Casual,M/L/XL/XXL,Solid,Elastic waist with drawstring,,Polyester,Athletic shorts,Men Nike black athletic shorts,2750,Images/P132.png
P133,Women,Bottomwear,Shorts,Black,Casual,S/M/L/XL,Solid,Self-tie belt,,Lace/Lined,Lace shorts with tie,Black lace shorts with self-tie belt,2470,Images/P133.png
P134,Women,Bottomwear,Shorts,Black,Casual,S/M/L/XL/XXXL,Solid,Button/zip waist,,Denim,Ripped denim shorts,Black ripped denim shorts,1540,Images/P134.png
P135,Women,Bottomwear,Shorts,Black,Casual,S/M/L/XL,Solid,Button/zip waist,,Denim,Distressed denim shorts,Black distressed denim shorts,2750,Images/P135.png
P136,Men,Bottomwear,Trousers,Olive Green,Casual,M/L/XL/XXL,Solid,Cargo pockets,,Cotton,Cargo pants,Men olive green cargo pants,5130,Images/P136.png
P137,Men,Bottomwear,Trousers,Olive Green,Casual,M/L/XL/XXL,Solid,Elastic waist with drawstring,,Cotton/Jersey,Cargo joggers,Olive green cargo jogger pants,4780,Images/P137.png
P138,Men,Bottomwear,Trousers,Olive Green,Casual,M/L/XL/XXL,Solid,Button/zip waist,,Cotton/Chino,Chino pants,Men olive green chino pants,4580,Images/P138.png
P139,Men,Bottomwear,Trousers,Green,Casual,M/L/XL/XXL,Solid,Button/zip waist,,Cotton/Chino,Chino pants,Men green chino pants,5000,Images/P139.png
