top_R,top_G,top_B,bot_R,bot_G,bot_B,delta_e,match
252,252,252,167,156,132,25.6,Moderate
228,228,228,239,240,242,2.77,Poor
232,232,232,231,232,234,1.06,Poor
253,253,253,72,70,52,58.71,Good
62,88,118,240,240,240,49.46,Moderate
244,244,248,26,26,25,85.26,Good
45,45,23,241,241,241,72.39,Good
228,228,228,222,222,222,1.33,Poor
242,241,239,254,254,254,2.83,Poor
247,247,247,230,225,222,5.16,Poor
230,229,227,155,146,127,23.2,Poor
228,228,228,35,39,24,74.83,Good
232,232,232,58,68,65,56.77,Good
229,227,229,46,62,61,60.52,Good
238,239,238,40,75,90,56.35,Good
231,232,230,23,23,23,84.13,Good
179,180,178,48,48,48,51.68,Good
226,227,226,40,75,90,54.32,Good
232,231,229,38,40,41,73.05,Good
228,228,228,90,118,137,35.02,Moderate
246,246,246,70,44,45,68.78,Good
227,227,227,94,97,77,42.16,Moderate
228,228,228,37,37,43,74.2,Good
228,228,228,253,254,254,5.4,Poor
237,235,236,244,244,244,2.18,Poor
230,231,228,246,249,251,4.57,Poor
252,253,253,18,23,37,88.83,Good
239,234,230,251,252,253,4.88,Poor
228,228,228,253,253,253,5.22,Poor
228,228,228,173,163,151,17.46,Poor
228,228,228,254,254,254,5.42,Poor
229,228,228,203,201,208,7.17,Poor
228,228,228,238,202,54,28.14,Moderate
228,228,228,105,102,88,38.87,Moderate
241,241,241,27,29,27,82.82,Good
241,241,241,87,88,84,47.04,Moderate
254,253,253,253,252,251,0.58,Poor
240,232,229,239,239,239,3.9,Poor
246,244,236,252,252,253,4.72,Poor
239,234,228,248,247,244,3.33,Poor
240,235,228,95,90,74,45.07,Moderate
199,198,197,95,57,24,53.37,Good
226,227,225,239,238,237,2.79,Poor
227,227,227,203,213,226,7.38,Poor
240,232,228,28,25,27,83.22,Good
231,230,229,25,22,23,83.69,Good
254,254,253,108,91,139,48.54,Moderate
253,253,252,153,156,152,24.13,Poor
246,246,248,146,108,85,39.65,Moderate
246,246,248,68,46,34,68.69,Good
242,242,241,79,58,50,60.86,Good
247,246,247,148,114,101,36.73,Moderate
247,246,248,154,123,88,35.78,Moderate
231,230,235,243,241,230,8.4,Poor
248,248,248,36,54,53,68.51,Good
245,245,245,252,252,251,1.5,Poor
254,254,254,231,228,222,6.18,Poor
237,237,237,229,228,230,2.27,Poor
245,245,244,31,31,34,81.2,Good
117,62,31,232,232,232,54.97,Good
245,245,244,253,253,252,1.62,Poor
249,249,250,253,253,252,1.33,Poor
221,221,217,253,253,252,7.01,Poor
240,241,243,253,253,252,2.9,Poor
245,245,244,96,96,96,43.87,Moderate
188,187,187,96,96,96,31.73,Moderate
239,240,245,92,92,92,44.83,Moderate
182,218,232,252,252,251,15.16,Poor
243,244,246,254,254,254,2.29,Poor
236,236,236,203,200,197,8.37,Poor
194,182,159,203,200,197,9.63,Poor
247,248,247,214,212,211,7.85,Poor
246,246,248,63,35,13,75.44,Good
234,234,239,87,62,47,57.76,Good
233,233,238,36,36,27,76.93,Good
234,234,238,48,38,25,74.26,Good
234,234,239,113,133,185,31.71,Moderate
235,234,240,204,206,212,6.66,Poor
183,170,208,164,170,140,33.65,Moderate
234,235,239,40,50,62,67.33,Good
234,235,239,252,252,251,4.33,Poor
231,230,231,52,105,31,49.41,Moderate
233,234,238,157,117,97,34.68,Moderate
234,235,239,165,156,145,21.36,Poor
235,234,239,40,38,36,74.61,Good
254,254,254,244,243,243,2.24,Poor
247,247,247,244,243,243,0.93,Poor
250,249,250,244,243,243,1.35,Poor
246,246,246,244,243,243,0.76,Poor
254,254,254,198,188,177,15.86,Poor
253,253,253,196,194,197,13.23,Poor
227,227,227,198,188,177,10.93,Poor
254,254,254,28,29,19,84.82,Good
254,254,254,239,231,228,5.79,Poor
254,254,254,194,179,157,19.74,Poor
254,254,254,190,128,93,35.14,Moderate
109,14,36,213,208,206,63.65,Good
7,61,144,230,227,224,61.6,Good
164,126,107,252,252,251,34.3,Moderate
248,248,248,253,253,251,1.44,Poor
254,254,254,189,182,170,17.43,Poor
239,238,238,238,238,238,0.51,Poor
228,228,228,254,254,254,5.42,Poor
245,245,247,242,234,223,6.86,Poor
245,245,247,250,200,202,18.26,Poor
245,244,247,239,231,228,4.65,Poor
245,244,247,176,176,174,16.56,Poor
245,245,247,175,176,174,16.68,Poor
228,229,229,175,176,174,13.13,Poor
248,248,247,175,176,174,17.08,Poor
254,254,254,61,70,94,58.77,Good
253,254,254,61,70,93,58.73,Good
254,254,254,69,69,68,58.32,Good
254,254,254,60,70,96,58.9,Good
37,168,248,181,184,180,26.64,Moderate
139,24,44,181,184,180,51.97,Good
115,41,115,183,185,182,51.79,Good
254,254,254,238,232,228,5.32,Poor
254,254,254,198,167,140,23.9,Poor
253,253,254,182,178,173,17.62,Poor
254,254,254,46,29,24,81.41,Good
253,252,253,62,46,42,69.68,Good
236,236,236,137,131,117,29.25,Moderate
228,228,228,104,35,37,64.16,Good
227,227,227,70,79,56,51.73,Good
46,106,98,152,155,107,29.1,Moderate
13,13,13,84,99,56,31.13,Moderate
250,251,250,28,36,23,80.49,Good
235,235,233,96,114,83,39.63,Moderate
254,254,254,143,122,55,40.35,Moderate
253,254,254,101,74,56,54.8,Good
254,254,254,101,74,56,54.7,Good
70,52,68,101,74,56,18.67,Poor
253,253,253,101,74,56,54.54,Good
254,254,254,31,31,31,82.35,Good
254,254,254,252,253,251,1.31,Poor
197,197,196,252,253,251,12.44,Poor
92,108,140,252,253,251,43.07,Moderate
253,253,253,252,253,251,1.28,Poor
254,254,254,231,230,238,6.37,Poor
199,151,12,231,230,238,36.56,Moderate
214,191,78,143,122,55,22.06,Poor
240,241,243,231,230,237,3.65,Poor
252,252,252,240,240,240,2.45,Poor
254,253,253,240,240,240,2.74,Poor
252,251,251,243,243,243,1.74,Poor
104,52,54,240,240,240,60.24,Good
3,57,155,240,240,240,63.72,Good
250,164,155,162,185,200,33.28,Moderate
186,86,90,162,185,200,40.55,Moderate
204,170,174,170,190,203,24.05,Poor
252,252,252,52,29,23,80.22,Good
254,254,254,198,152,127,28.14,Moderate
31,42,74,223,223,222,71.0,Good
254,254,254,48,27,22,82.2,Good
253,253,253,90,86,80,49.69,Moderate
252,252,252,253,253,253,0.2,Poor
253,253,254,147,124,99,35.59,Moderate
233,232,230,197,192,177,11.14,Poor
62,28,41,187,185,175,60.45,Good
253,254,254,201,199,188,13.31,Poor
93,41,70,26,32,31,22.31,Poor
110,43,72,200,199,197,55.1,Good
27,27,27,200,199,197,66.8,Good
251,251,251,177,127,86,35.36,Moderate
251,252,252,200,199,197,11.78,Poor
254,254,254,200,199,197,12.2,Poor
253,253,253,245,245,245,1.62,Poor
253,253,253,158,158,158,23.13,Poor
252,251,251,157,157,157,23.09,Poor
254,254,254,159,159,159,23.02,Poor
250,249,249,47,44,41,72.14,Good
15,88,91,46,44,42,22.36,Poor
243,243,243,57,53,47,65.56,Good
252,252,252,204,180,160,19.4,Poor
252,252,252,103,115,127,38.67,Moderate
253,253,253,177,127,86,35.67,Moderate
254,254,254,199,204,227,14.59,Poor
253,253,253,240,240,240,2.65,Poor
254,254,254,194,140,61,35.01,Moderate
254,253,252,184,169,143,22.33,Poor
253,252,252,216,201,192,12.61,Poor
253,253,253,184,178,177,17.34,Poor
254,254,254,110,108,106,40.44,Moderate
72,39,66,130,130,135,33.17,Moderate
253,253,253,187,183,180,16.06,Poor
254,253,253,210,210,209,9.41,Poor
251,250,251,210,210,209,8.89,Poor
254,254,253,177,127,86,35.78,Moderate
254,254,254,240,239,239,3.06,Poor
73,35,45,210,210,209,66.79,Good
254,254,254,210,210,209,9.54,Poor
253,253,253,64,50,37,68.12,Good
253,253,253,62,49,36,68.84,Good
252,252,252,68,54,41,65.6,Good
253,253,254,217,216,215,7.97,Poor
252,252,252,216,216,215,7.75,Poor
100,44,52,216,215,214,59.55,Good
240,1,53,49,33,26,38.26,Moderate
253,252,252,223,216,212,8.09,Poor
254,254,254,239,239,239,3.06,Poor
212,160,55,216,201,192,23.69,Poor
254,254,254,254,253,253,0.53,Poor
253,252,253,153,123,106,34.97,Moderate
253,253,253,241,240,237,3.06,Poor
252,253,253,37,31,25,81.64,Good
252,252,252,85,55,41,63.5,Good
82,41,60,60,34,21,16.49,Poor
222,192,174,57,36,28,62.63,Good
254,254,254,253,253,252,0.58,Poor
239,234,229,56,74,77,55.2,Good
253,253,253,239,239,239,2.86,Poor
253,253,253,231,230,228,4.88,Poor
253,253,253,230,230,228,4.93,Poor
253,253,253,216,201,192,12.95,Poor
253,253,253,230,230,228,4.93,Poor
251,251,251,230,230,228,4.55,Poor
166,92,112,224,227,201,46.7,Moderate
127,64,87,224,226,205,55.7,Good
28,31,55,222,225,191,80.75,Good
253,253,253,141,94,70,45.53,Moderate
227,227,228,142,94,70,41.14,Moderate
241,139,114,239,239,239,29.96,Moderate
243,204,182,123,76,57,41.54,Moderate
214,214,213,216,206,198,5.33,Poor
254,254,254,238,236,242,4.91,Poor
253,252,253,216,201,192,12.75,Poor
222,174,162,51,66,142,52.98,Good
251,186,196,31,34,51,69.76,Good
212,39,38,33,38,62,42.34,Moderate
163,3,4,171,188,210,54.42,Good
253,253,253,31,34,51,79.9,Good
233,233,232,254,254,253,4.33,Poor
249,247,248,115,119,124,35.44,Moderate
252,251,251,159,160,169,22.53,Poor
241,242,244,247,246,246,1.54,Poor
253,253,253,254,254,253,0.57,Poor
253,253,253,254,254,253,0.57,Poor
253,253,253,231,228,228,5.3,Poor
85,36,84,254,254,253,69.99,Good
19,146,110,254,254,253,40.57,Moderate
254,254,254,15,8,12,96.56,Good
7,109,151,15,8,12,37.42,Moderate
228,228,228,16,9,14,85.28,Good
241,227,216,237,237,237,7.21,Poor
253,254,254,126,122,125,34.95,Moderate
252,252,252,126,122,126,34.59,Moderate
253,253,254,131,125,126,33.61,Moderate
13,30,75,66,66,66,22.03,Poor
90,29,39,242,241,240,70.63,Good
204,170,166,231,228,228,17.2,Poor
1,75,61,243,243,239,61.37,Good
186,182,54,213,210,207,26.64,Moderate
234,175,180,221,222,219,22.48,Poor
248,248,248,81,50,41,65.34,Good
229,232,225,189,20,9,52.54,Good
1,90,114,27,25,23,26.56,Moderate
204,170,166,157,148,139,13.8,Poor
81,109,129,41,26,19,33.8,Moderate
10,51,69,253,253,251,72.09,Good
160,139,121,254,254,253,30.09,Moderate
161,157,165,254,254,253,23.86,Poor
166,81,63,231,228,228,42.96,Moderate
38,37,48,254,254,253,77.47,Good
152,173,183,254,254,253,21.82,Poor
248,248,248,52,105,31,51.62,Good
159,150,110,122,119,115,17.07,Poor
223,113,100,52,105,31,56.24,Good
243,250,242,52,104,31,50.27,Good
254,253,253,78,24,39,76.33,Good
243,250,242,78,24,39,78.43,Good
253,253,253,78,24,39,76.41,Good
254,254,254,29,30,40,82.9,Good
244,218,200,29,29,40,79.09,Good
236,165,175,254,253,253,26.05,Moderate
146,24,60,29,29,40,29.19,Moderate
248,248,248,245,245,243,1.25,Poor
167,71,81,240,238,239,46.36,Moderate
254,254,254,245,245,243,2.13,Poor
140,223,213,245,245,243,22.23,Poor
254,253,254,185,177,175,17.65,Poor
142,185,213,185,177,175,19.43,Poor
232,207,202,184,178,175,11.22,Poor
239,195,174,253,253,253,19.23,Poor
252,252,252,252,251,251,0.53,Poor
253,253,253,239,231,228,5.64,Poor
253,253,253,212,206,200,10.71,Poor
248,248,248,212,206,200,9.77,Poor
253,253,253,247,242,246,4.0,Poor
254,254,254,209,206,203,10.53,Poor
83,102,140,141,136,133,22.34,Poor
202,185,169,253,252,251,16.96,Poor
252,251,254,246,245,244,2.47,Poor
253,252,253,143,122,55,40.48,Moderate
254,254,254,63,33,18,76.93,Good
30,30,30,239,237,235,81.05,Good
254,253,253,89,104,113,43.62,Moderate
235,232,229,221,215,209,4.1,Poor
253,254,254,241,233,226,6.24,Poor
238,236,235,2,2,2,90.75,Good
253,253,254,229,228,226,5.45,Poor
254,253,253,189,156,161,25.08,Moderate
254,254,254,229,228,226,5.51,Poor
254,254,254,229,228,226,5.51,Poor
254,254,254,229,228,226,5.51,Poor
252,252,251,177,127,86,35.47,Moderate
234,234,234,229,228,226,1.67,Poor
238,233,229,254,254,254,4.99,Poor
253,254,254,251,251,251,0.75,Poor
254,254,254,202,191,155,19.69,Poor
93,25,76,126,123,119,35.39,Moderate
101,32,74,202,192,154,64.4,Good
254,254,254,204,193,152,20.24,Poor
254,254,254,198,194,187,13.82,Poor
254,254,254,121,154,162,28.85,Moderate
254,254,254,171,176,179,18.57,Poor
61,16,97,38,33,25,30.95,Moderate
233,219,160,216,201,192,16.73,Poor
246,192,198,229,229,231,18.56,Poor
220,221,222,176,170,188,15.27,Poor
228,228,228,228,228,230,1.08,Poor
239,237,238,40,40,40,73.68,Good
219,219,219,229,229,231,2.51,Poor
153,173,138,175,170,188,24.87,Poor
254,254,254,229,229,231,5.28,Poor
232,163,151,241,241,246,25.34,Moderate
69,75,43,241,232,229,55.93,Good
254,254,254,241,241,246,3.65,Poor
89,147,189,244,245,249,31.83,Moderate
43,68,132,194,179,157,54.08,Good
205,205,206,190,128,93,27.7,Moderate
186,186,187,213,208,206,6.31,Poor
253,254,254,231,231,230,4.78,Poor
235,235,235,230,227,224,2.49,Poor
254,254,254,252,252,251,0.68,Poor
254,254,254,253,253,251,1.09,Poor
253,253,254,189,182,170,17.44,Poor
253,253,253,254,254,254,0.2,Poor
253,253,253,241,233,231,5.29,Poor
42,63,148,242,234,223,62.61,Good
252,252,252,250,200,202,19.0,Poor
252,251,252,251,251,251,0.83,Poor
238,237,240,254,254,254,3.83,Poor
72,36,42,80,103,78,39.99,Moderate
254,253,253,253,253,253,0.5,Poor
254,254,254,198,188,177,15.86,Poor
149,246,201,198,188,177,26.96,Moderate
253,253,253,28,29,19,84.72,Good
232,191,110,161,142,125,21.34,Poor
67,34,79,152,142,131,43.19,Moderate
251,251,251,254,254,254,0.6,Poor
94,197,220,254,254,253,26.4,Moderate
246,246,246,238,238,238,1.66,Poor
254,253,253,253,253,253,0.5,Poor
241,241,241,253,253,254,2.51,Poor
210,3,105,253,253,252,49.58,Moderate
254,254,254,244,243,239,3.01,Poor
254,254,254,253,253,253,0.2,Poor
253,253,252,165,152,140,25.35,Moderate
251,252,252,82,114,128,41.24,Moderate
17,43,147,219,205,186,68.83,Good
252,252,252,219,206,188,13.01,Poor
252,252,252,254,254,254,0.4,Poor
251,251,251,219,205,187,13.11,Poor
229,230,225,116,84,69,45.9,Moderate
253,253,253,177,192,206,16.22,Poor
252,254,253,116,83,69,50.45,Good
75,29,48,120,98,74,29.67,Moderate
252,252,252,45,57,76,65.8,Good
31,66,81,224,218,212,58.74,Good
253,253,253,125,126,123,33.79,Moderate
254,254,254,123,109,92,40.45,Moderate
252,251,251,224,206,196,11.97,Poor
253,252,252,159,149,145,25.54,Moderate
31,31,31,254,254,254,82.35,Good
231,230,230,207,198,197,7.98,Poor
250,251,250,248,248,248,0.99,Poor
252,252,252,170,156,134,25.26,Moderate
253,253,253,152,137,126,29.98,Moderate
253,254,254,195,195,196,13.13,Poor
254,254,254,119,50,59,60.81,Good
254,252,252,119,50,59,60.3,Good
254,254,254,118,42,53,63.17,Good
6,83,106,206,205,207,49.09,Moderate
212,205,237,214,213,211,14.74,Poor
253,254,254,218,215,215,8.4,Poor
230,230,228,253,253,252,4.83,Poor
254,254,254,239,239,237,3.27,Poor
108,30,49,210,209,210,61.0,Good
121,33,90,209,210,209,56.99,Good
254,254,253,211,210,216,10.11,Poor
236,236,236,213,213,214,5.14,Poor
254,254,253,215,215,217,8.46,Poor
253,253,252,181,182,183,16.4,Poor
240,241,245,178,177,177,15.38,Poor
200,120,47,220,204,178,26.32,Moderate
254,254,254,222,203,177,15.75,Poor
206,208,206,221,203,178,11.27,Poor
254,254,253,253,253,253,0.57,Poor
242,91,138,236,235,231,36.78,Moderate
244,244,244,217,212,209,7.3,Poor
244,244,244,217,212,209,7.3,Poor
183,74,79,209,203,199,37.67,Moderate
181,59,57,231,230,238,46.83,Moderate
240,251,253,231,230,238,7.98,Poor
163,62,27,231,230,237,49.82,Moderate
13,78,88,210,193,185,52.98,Good
254,254,253,200,197,188,13.25,Poor
223,224,222,63,47,35,65.45,Good
254,254,254,229,229,229,5.2,Poor
3,75,80,183,170,155,47.77,Moderate
40,55,45,238,233,229,66.37,Good
241,242,244,172,164,160,19.35,Poor
30,85,80,191,180,168,45.69,Moderate
228,207,189,150,137,131,20.68,Poor
40,89,57,239,238,238,54.68,Good
248,241,248,215,184,172,16.59,Poor
246,249,249,173,154,145,24.59,Poor
168,52,71,154,128,103,28.31,Moderate
231,230,229,154,126,101,30.43,Moderate
196,70,117,252,253,253,42.31,Moderate
254,254,254,155,127,102,34.6,Moderate
221,223,223,227,227,232,3.24,Poor
232,134,110,229,230,228,30.48,Moderate
86,83,62,227,227,233,48.96,Moderate
253,253,253,227,227,232,5.96,Poor
253,253,253,253,252,251,0.65,Poor
246,245,245,36,28,28,82.38,Good
254,254,254,63,49,33,69.07,Good
90,47,89,197,155,136,46.25,Moderate
239,241,238,170,16,30,56.28,Good
253,253,253,253,253,252,0.54,Poor
253,253,253,119,111,110,38.74,Moderate
34,71,51,254,254,254,63.56,Good
173,162,153,241,232,229,17.8,Poor
66,204,72,239,234,230,32.63,Moderate
250,245,242,128,3,4,66.15,Good
254,254,254,251,251,251,0.6,Poor
40,49,116,216,228,216,67.67,Good
254,254,254,217,229,217,10.24,Poor
126,36,96,215,228,216,63.53,Good
228,228,228,229,225,224,1.98,Poor
78,41,30,43,48,46,21.64,Poor
26,66,88,41,45,53,11.71,Poor
254,253,253,240,230,233,6.37,Poor
253,253,253,250,250,250,0.6,Poor
254,253,253,249,249,249,0.98,Poor
253,253,253,230,229,227,5.1,Poor
248,228,37,249,249,249,29.59,Moderate
245,245,247,250,250,250,1.46,Poor
231,230,229,249,249,249,4.0,Poor
240,233,230,245,245,245,4.0,Poor
228,228,228,251,251,251,4.82,Poor
254,253,253,251,249,247,1.31,Poor
240,54,19,70,54,43,35.72,Moderate
252,252,252,70,55,44,64.79,Good
245,245,247,70,55,43,63.93,Good
254,254,254,254,253,254,0.84,Poor
254,254,254,245,245,244,1.91,Poor
253,253,253,230,229,227,5.1,Poor
250,251,251,253,253,252,0.76,Poor
251,253,253,229,229,228,5.03,Poor
252,252,252,254,254,254,0.4,Poor
228,228,228,253,253,253,5.22,Poor
253,253,253,253,253,253,0.0,Poor
240,239,239,253,254,254,3.14,Poor
34,167,122,254,253,253,36.61,Moderate
133,166,178,245,244,245,24.17,Poor
254,254,254,254,254,253,0.54,Poor
253,253,254,29,20,22,89.43,Good
254,254,254,30,21,24,88.72,Good
254,254,254,254,254,254,0.0,Poor
254,254,254,31,21,24,88.53,Good
254,254,254,252,208,227,18.51,Poor
247,247,247,252,208,227,18.0,Poor
254,253,253,242,241,237,3.27,Poor
254,254,254,252,208,228,18.6,Poor
238,239,238,131,130,110,31.1,Moderate
240,235,229,130,106,80,37.8,Moderate
198,60,44,251,251,251,47.76,Moderate
254,254,254,61,78,43,58.84,Good
28,96,51,254,254,254,55.78,Good
110,12,21,254,254,254,71.25,Good
239,240,238,253,253,251,2.74,Poor
239,240,238,246,245,247,2.88,Poor
248,248,248,24,26,32,85.69,Good
239,239,239,118,138,90,34.64,Moderate
254,254,254,227,228,248,10.22,Poor
208,192,177,218,214,211,8.12,Poor
201,20,40,91,41,45,22.72,Poor
239,240,244,134,65,81,52.16,Good
243,243,243,133,66,84,52.4,Good
245,245,245,165,161,157,20.66,Poor
33,58,54,165,161,157,43.52,Moderate
249,249,249,165,161,155,21.59,Poor
234,235,234,246,246,246,2.5,Poor
239,240,238,240,240,240,1.3,Poor
239,240,238,95,47,39,64.01,Good
236,236,237,240,240,240,0.99,Poor
240,233,229,239,239,238,3.48,Poor
240,233,229,240,240,240,3.66,Poor
245,239,232,241,240,240,3.69,Poor
57,61,47,254,254,254,64.19,Good
247,246,248,254,254,254,2.01,Poor
252,253,253,229,230,227,5.09,Poor
242,243,245,254,254,253,2.72,Poor
253,253,254,254,254,253,1.09,Poor
254,254,254,230,229,228,5.21,Poor
254,254,254,65,68,48,60.75,Good
86,87,91,79,72,72,6.65,Poor
237,237,237,77,71,75,53.8,Good
102,154,154,77,71,74,36.86,Moderate
229,231,233,254,254,253,5.09,Poor
179,180,178,254,254,254,17.22,Poor
254,254,254,227,221,209,8.96,Poor
29,158,176,41,43,37,42.55,Moderate
254,253,253,205,182,181,17.68,Poor
240,235,229,195,187,182,11.27,Poor
5,137,131,167,148,171,38.65,Moderate
253,253,253,170,172,169,19.38,Poor
252,252,253,254,254,254,0.66,Poor
43,44,62,254,254,254,72.85,Good
232,232,232,254,254,253,4.57,Poor
253,253,253,254,254,254,0.2,Poor
234,232,235,149,144,145,23.11,Poor
231,230,230,244,244,244,2.96,Poor
231,232,232,233,233,230,1.56,Poor
160,141,147,233,233,230,25.37,Moderate
204,122,166,233,233,230,33.97,Moderate
213,213,211,237,227,147,20.84,Poor
254,254,254,38,38,39,77.11,Good
254,254,254,250,249,249,1.08,Poor
215,45,98,232,232,232,43.12,Moderate
232,233,237,63,76,91,52.28,Good
217,228,243,254,254,254,9.18,Poor
253,253,253,77,48,32,67.77,Good
241,236,230,77,48,31,64.96,Good
236,232,230,234,219,123,23.25,Poor
183,183,181,231,229,225,11.26,Poor
254,254,254,254,254,253,0.54,Poor
254,254,254,75,83,70,53.25,Good
222,198,185,89,83,60,43.08,Moderate
253,253,253,231,229,226,5.22,Poor
218,150,153,251,251,251,28.64,Moderate
254,254,254,240,240,240,2.85,Poor
247,247,247,253,253,250,1.96,Poor
254,254,254,254,254,254,0.0,Poor
228,228,228,254,254,254,5.42,Poor
226,230,231,46,45,46,68.83,Good
254,254,254,49,48,49,70.24,Good
254,254,254,241,232,229,5.87,Poor
245,245,245,254,254,253,1.88,Poor
253,253,253,152,154,157,24.46,Poor
254,254,254,254,254,254,0.0,Poor
93,93,98,241,234,231,43.52,Moderate
254,254,254,195,198,198,12.67,Poor
254,254,254,107,84,56,51.12,Good
254,254,254,115,90,61,48.52,Moderate
254,254,254,110,84,55,51.01,Good
254,254,254,246,246,248,1.91,Poor
21,21,21,246,246,248,89.22,Good
52,53,36,246,246,248,67.83,Good
254,254,254,254,254,254,0.0,Poor
228,228,229,184,182,173,12.34,Poor
103,94,90,254,254,254,45.86,Moderate
81,108,85,254,254,254,45.96,Moderate
132,107,137,253,253,252,41.31,Moderate
253,253,253,236,235,231,4.24,Poor
254,254,254,238,233,229,4.99,Poor
254,254,254,229,230,228,5.22,Poor
254,253,253,240,234,230,4.63,Poor
253,254,254,253,253,251,1.06,Poor
225,224,230,254,254,254,6.97,Poor
254,254,254,253,253,251,1.09,Poor
240,243,248,100,104,108,40.31,Moderate
51,81,67,253,253,251,56.97,Good
254,254,254,246,246,246,1.61,Poor
253,253,253,246,246,246,1.41,Poor
252,252,252,230,229,228,4.81,Poor
254,254,254,230,229,228,5.21,Poor
254,254,254,254,254,254,0.0,Poor
254,254,254,246,246,246,1.61,Poor
246,246,246,254,254,254,1.61,Poor
246,246,246,232,232,232,2.94,Poor
9,52,74,232,232,232,68.38,Good
151,167,138,75,74,73,37.73,Moderate
253,253,253,240,240,240,2.65,Poor
254,254,253,240,240,240,2.89,Poor
239,187,32,254,254,254,31.09,Moderate
254,254,254,254,254,254,0.0,Poor
253,253,253,240,233,229,5.18,Poor
254,254,253,239,233,229,5.04,Poor
216,187,106,241,234,231,23.79,Poor
38,158,112,230,229,228,34.51,Moderate
254,254,254,241,234,230,5.17,Poor
227,227,227,254,254,254,5.64,Poor
254,254,254,125,121,116,35.52,Moderate
254,254,254,254,254,254,0.0,Poor
58,29,45,254,254,254,78.6,Good
254,254,254,254,254,254,0.0,Poor
105,110,87,254,254,254,42.31,Moderate
64,17,27,254,254,254,82.71,Good
185,185,185,253,253,252,15.54,Poor
144,86,46,253,253,252,48.63,Moderate
44,32,43,235,235,231,77.41,Good
244,244,244,254,254,254,2.02,Poor
226,226,225,235,235,231,2.46,Poor
228,228,228,61,60,59,59.04,Good
228,228,228,238,233,229,3.03,Poor
228,228,228,238,233,229,3.03,Poor
228,228,228,229,230,228,1.35,Poor
247,247,247,229,230,228,3.88,Poor
235,234,232,240,234,230,2.38,Poor
238,211,218,239,233,229,11.05,Poor
248,244,241,230,229,227,3.59,Poor
254,254,254,230,229,227,5.29,Poor
252,252,252,230,229,227,4.9,Poor
252,252,252,232,232,233,4.17,Poor
251,251,251,201,206,203,10.68,Poor
251,251,251,230,229,227,4.71,Poor
251,251,251,230,229,227,4.71,Poor
243,243,239,230,229,228,3.38,Poor
241,240,240,240,240,240,0.51,Poor
241,240,240,238,238,240,1.14,Poor
254,254,254,237,237,239,3.61,Poor
254,254,254,228,228,230,5.49,Poor
227,227,227,202,200,218,10.39,Poor
227,227,227,254,254,253,5.65,Poor
245,245,245,254,254,254,1.81,Poor
188,154,123,201,206,203,21.32,Poor
91,93,68,58,58,57,15.95,Poor
232,225,209,58,58,57,60.32,Good
247,247,247,58,58,57,63.35,Good
42,30,23,58,58,57,11.38,Poor
71,47,35,57,57,56,13.12,Poor
237,237,237,57,57,56,62.42,Good
230,229,230,57,57,56,61.22,Good
252,252,252,57,57,56,64.68,Good
254,254,254,111,61,24,59.72,Good
254,254,254,111,61,24,59.72,Good
254,254,254,227,227,227,5.64,Poor
65,73,34,112,60,24,24.33,Poor
251,251,251,111,60,24,59.57,Good
251,251,251,112,61,24,59.15,Good
254,254,254,111,61,24,59.72,Good
